Sonntag, 23.Dezember 2018	97.1		20181223
Montag, 24.Dezember 2018	97.7		20181224
Dienstag, 25.Dezember 2018	98.1		20181225
Mittwoch, 26.Dezember 2018	98.9		20181226
Donnerstag, 27.Dezember 2018	98.9		20181227
Freitag, 28.Dezember 2018	98.0		20181228
Samstag, 29.Dezember 2018	97.0		20181229
Sonntag, 30.Dezember 2018	97.0		20181230
Montag, 31.Dezember 2018	98.2		20181231
Dienstag, 01.Januar 2019	99.1		20190101
Mittwoch, 02.Januar 2019	100.1		20190102
Donnerstag, 03.Januar 2019	98.3		20190103
Freitag, 04.Januar 2019	98.6		20190104
Samstag, 05.Januar 2019	98.6		20190105
Sonntag, 06.Januar 2019	98.6		20190106
Montag, 07.Januar 2019	99.1		20190107
Dienstag, 08.Januar 2019	98.0		20190108
Mittwoch, 09.Januar 2019	97.9		20190109
Donnerstag, 10.Januar 2019	97.5		20190110
Freitag, 11.Januar 2019	97.4		20190111
Samstag, 12.Januar 2019	98.3		20190112
Sonntag, 13.Januar 2019	97.9		20190113
Montag, 14.Januar 2019	98.9		20190114
Dienstag, 15.Januar 2019	99.5		20190115
Mittwoch, 16.Januar 2019	99.5		20190116
Donnerstag, 17.Januar 2019	98.5		20190117
Freitag, 18.Januar 2019	99.0		20190118
Samstag, 19.Januar 2019	99.1		20190119
Sonntag, 20.Januar 2019	99.5		20190120
Montag, 21.Januar 2019	99.4		20190121
Dienstag, 22.Januar 2019	99.4		20190122
Mittwoch, 23.Januar 2019	100.1		20190123
Donnerstag, 24.Januar 2019	100.1		20190124
Freitag, 25.Januar 2019	100.1		20190125
Samstag, 26.Januar 2019	99.2		20190126
Sonntag, 27.Januar 2019	101.0		20190127
Montag, 28.Januar 2019	101.0		20190128
Dienstag, 29.Januar 2019	100.9		20190129
Mittwoch, 30.Januar 2019	100.0		20190130
Donnerstag, 31.Januar 2019	100.0		20190131
Freitag, 01.Februar 2019	100.0		20190201
Samstag, 02.Februar 2019	99.0		20190202
Sonntag, 03.Februar 2019	99.4		20190203
Montag, 04.Februar 2019	99.6		20190204
Dienstag, 05.Februar 2019	99.6		20190205
Mittwoch, 06.Februar 2019	99.9		20190206
Donnerstag, 07.Februar 2019	100.1		20190207
Freitag, 08.Februar 2019	100.3		20190208
Samstag, 09.Februar 2019	100.7		20190209
Sonntag, 10.Februar 2019	100.1		20190210
Montag, 11.Februar 2019	99.9		20190211
Dienstag, 12.Februar 2019	100.1		20190212
